Dish,Calories,Carbs,Protein,Fat,Sugar,Fibre,Sodium,Calcium,Iron,VitaminC,Folate,Protein_ratio,Carb_ratio,Fat_ratio
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,0.024163568773234202,0.15985130111524162,0.03283767038413879
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,0.027633851468048358,0.15759930915371329,0.03238341968911917
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,0.03395421032207994,0.12844392704695382,0.041521148622429185
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,0.0029013539651837525,0.2611218568665377,0.0009671179883945841
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,0.004454342984409799,0.2519487750556793,0.0008351893095768373
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,0.003875968992248063,0.2596899224806202,0.0008305647840531562
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,0.003026372676178124,0.25897103329009946,0.000864677907479464
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,0.0014423076923076922,0.26346153846153847,0.00048076923076923074
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,0.003717472118959108,0.2578996282527881,0.0013940520446096654
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,0.018701870187018705,0.20462046204620463,0.0121012101210121
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,0.017099236641221375,0.17465648854961832,0.030534351145038167
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,0.01649576460098083,0.2420864913062862,0.0017833259028087385
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,0.03729189789123197,0.10244173140954496,0.050610432852386235
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,0.023139277818717763,0.16565954310980105,0.031098010316875462
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,0.028173327208696985,0.14010105649977034,0.03628847037207166
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,0.03040421792618629,0.12706502636203867,0.04130052724077329
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,0.029791816223977027,0.13675520459440058,0.04002153625269203
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,0.03239289446185998,0.12382445141065831,0.0438871473354232
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,0.049207329627341985,0.08389952645666049,0.05260448836730492
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,0.03617498597868761,0.18255748738081887,0.019068984856982617
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,0.07165605095541402,0.09872611464968153,0.03821656050955414
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,0.031176929072486356,0.1256246847920774,0.04483975975425244
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,0.03038886557560498,0.10197230381871591,0.05525248286473633
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,0.02545068928950159,0.13663838812301166,0.042417815482502653
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,0.031818710954173296,0.11291762058127354,0.049668231733343685
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,0.0325497287522604,0.11063619924379418,0.050427420680585235
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,0.05180242429028309,0.10020926284202629,0.04639317724167884
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,0.032700820094019145,0.09793089249562502,0.055382081460385
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,0.02841429880843263,0.12560953253895507,0.04597616865261228
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,0.031064082950875403,0.07865884752677206,0.06425293217746048
