FoodItem,Calories,Protein,Carbs,Fat,Fibre,Sugar,Sodium,Calcium,Iron,VitaminC
Hot tea (Garam Chai),0.011444423095398214,0.018097447795823667,0.02981624869987288,0.0058595909342178,0.0,0.030150753768844223,,,,
Instant coffee,0.019874627726006337,0.029698375870069606,0.042181902230440306,0.008291873963515755,0.0,0.04230454598574267,,,,
Espreso coffee,0.05395571140359304,0.08120649651972157,0.07650525829192188,0.02365948037589829,0.0,0.07631179151571812,,,,
Iced tea,0.004479296762417137,0.0013921113689095127,0.031203050964983246,0.0001105583195135434,0.0,0.03155311440925558,,,,
Raw mango drink (Aam panna),0.035197905658564704,0.007424593967517401,0.1045880041604068,0.0003316749585406302,0.017082049845981516,0.087530676639009,,,,
Fruit Punch (with fresh juices),0.03543808242866749,0.0064965197215777265,0.10840171038946031,0.0003316749585406302,0.001680201624194903,0.10809863269837561,,,,
Fruit Punch (with squashes),0.01983860121049092,0.0032482598607888632,0.06922454640009246,0.0002211166390270868,0.004760571268552226,0.06871567138015659,,,,
Lemonade,0.017040541838793354,0.0013921113689095127,0.0633306367733734,0.0001105583195135434,0.0005600672080649677,0.06392427252541778,,,,
Lem-o-gin,0.017905178211163414,0.0037122969837587007,0.06413960476135444,0.0003316749585406302,0.0036404368524222907,0.06287250204510926,,,,
Cumin infused water (Jeere/Zeere ka pani),0.0029781919492746656,0.00788863109048724,0.02149543510921068,0.0012161415146489773,0.01288154578549426,0.0170620544583382,,,,
Coco pine cooler,0.03139110385243539,0.025986078886310906,0.06610424130359413,0.01105583195135434,0.007280873704844581,0.06450858945892252,,,,
Summer cooler,0.018997982515131136,0.01716937354988399,0.06275280249624407,0.0004422332780541736,0.005600672080649678,0.06088582447119317,,,,
Hot cocoa,0.10026179267941204,0.15591647331786543,0.10666820755807235,0.05041459369817578,0.0,0.10529391141755289,,,,
Cold coffee with ice cream,0.07354212700547602,0.0728538283062645,0.12989714549867099,0.023327805417357655,0.00028003360403248387,0.1306532663316583,,,,
