Activity,Calories_per_kg,Category
"Cycling, mountain bike, bmx",1.75072971940299,Mixed
"Cycling, <10 mph, leisure bicycling",0.823235629850746,Mixed
"Cycling, >20 mph, racing",3.29497352835821,Mixed
"Cycling, 10-11.9 mph, light",1.23485344477612,Mixed
"Cycling, 12-13.9 mph, moderate",1.64782526567164,Mixed
"Cycling, 14-15.9 mph, vigorous",2.05944308059702,Mixed
"Cycling, 16-19 mph, very fast, racing",2.47106089552239,Mixed
Unicycling,1.02972154029851,Mixed
"Stationary cycling, very light",0.61742672238806,Mixed
"Stationary cycling, light",1.13262599402985,Mixed
"Stationary cycling, moderate",1.44133935522388,Mixed
"Stationary cycling, vigorous",2.16234753432836,Mixed
"Stationary cycling, very vigorous",2.57464235223881,Mixed
"Calisthenics, vigorous, pushups, situps…",1.64782526567164,Strength
"Calisthenics, light",0.721008179104478,Mixed
"Circuit training, minimal rest",1.64782526567164,Mixed
"Weight lifting, body building, vigorous",1.23485344477612,Strength
"Weight lifting, light workout",0.61742672238806,Strength
Health club exercise,1.13262599402985,Mixed
Stair machine,1.85295717014925,Cardio
"Rowing machine, light",0.721008179104478,Mixed
"Rowing machine, moderate",1.44133935522388,Mixed
"Rowing machine, vigorous",1.75072971940299,Mixed
"Rowing machine, very vigorous",2.47106089552239,Mixed
Ski machine,1.44133935522388,Cardio
"Aerobics, low impact",1.02972154029851,Cardio
"Aerobics, high impact",1.44133935522388,Cardio
"Aerobics, step aerobics",1.75072971940299,Cardio
"Aerobics, general",1.33843490149254,Cardio
Jazzercise,1.23485344477612,Mixed
"Stretching, hatha yoga",0.823235629850746,Mixed
Mild stretching,0.515199271641791,Mixed
Instructing aerobic class,1.23485344477612,Cardio
Water aerobics,0.823235629850746,Cardio
"Ballet, twist, jazz, tap",0.927494089552239,Mixed
"Ballroom dancing, slow",0.61742672238806,Mixed
"Ballroom dancing, fast",1.13262599402985,Mixed
"Running, 5 mph (12 minute mile)",1.64782526567164,Cardio
