condition,avoid,recommend
diabetes,high intensity without meal,walking|cycling|yoga
hypertension,heavy lifting|sudden sprinting,brisk walk|swimming
heart disease,high intensity|HIIT,slow walking|breathing exercises
thyroid (hypothyroid),heavy weight training,walking|light jogging
thyroid (hyperthyroid),intense cardio,yoga|pilates
pcos,very heavy weights,moderate cardio|strength training
asthma,cold weather running,light walk|warm-up breathing
anemia,heavy workouts,yoga|slow walk
obesity,HIIT initially,walking|cycling
kidney disease,heavy weights,stretching|slow walk
